Orde_ ID;Order_Number;Week;Date_Time;Comment;Merchandise_Revenue;Payment_Method;PO_ ID;Rating;Reasons;Shipping_Type;State
191357;14027;1;01/01/2017 10:11;;105,12 ;;26;5;;receber;SP
191361;14031;1;01/01/2017 11:39;;70,85 ;;30;5;;receber;SP
191362;14032;1;01/01/2017 12:22;;62,30 ;;26;;;receber;SP
191384;14054;1;01/01/2017 15:35;;48,82 ;;29;1;;receber;SP
191385;14055;1;01/01/2017 16:02;;70,85 ;;30;5;;receber;SP
191386;14056;1;01/01/2017 16:13;;42,05 ;;26;;;receber;SP
191405;14075;1;01/01/2017 20:31;;33,98 ;;30;;;receber;SP
191413;14083;2;02/01/2017 17:18;;232,74 ;;21;;;receber;SP
191414;14084;2;02/01/2017 18:24;;81,46 ;;21;5;;receber;SP
191432;14102;2;03/01/2017 13:42;;32,45 ;;18;5;;receber;SP
191433;14103;2;03/01/2017 15:24;;29,88 ;;24;;;receber;SP
191434;14104;2;03/01/2017 15:33;;28,58 ;;21;5;;receber;SP
191456;14126;2;03/01/2017 21:30;;30,32 ;;30;;;receber;SP
191457;14127;2;03/01/2017 22:22;;84,24 ;;30;5;;receber;SP
191458;14128;2;03/01/2017 22:40;;28,75 ;;24;5;;receber;SP
191476;14147;2;04/01/2017 16:20;;31,94 ;;18;1;;receber;SP
191484;14155;2;04/01/2017 16:46;;29,93 ;;25;5;;receber;SP
191485;14156;2;04/01/2017 16:50;;28,34 ;;19;;;receber;SP
191503;14174;2;04/01/2017 20:33;;51,92 ;;21;5;;receber;SP
191504;14175;2;04/01/2017 20:36;;79,78 ;;26;;;receber;SP
191505;14176;2;04/01/2017 20:41;;32,54 ;;23;;;receber;SP
191527;14198;2;05/01/2017 12:49;;52,70 ;;25;5;;receber;SP
191528;14199;2;05/01/2017 12:49;;29,34 ;;19;3;;receber;SP
191532;14203;2;05/01/2017 15:39;;54,69 ;;18;5;;receber;SP
191547;14218;2;05/01/2017 18:09;;143,66 ;;23;;;receber;SP
191555;14226;2;05/01/2017 18:55;;29,88 ;;25;;;receber;SP
191556;14227;2;05/01/2017 18:59;;32,45 ;;25;5;;receber;SP
191574;14245;2;05/01/2017 20:40;;30,62 ;;30;5;;receber;SP
191575;14246;2;05/01/2017 20:45;;28,75 ;;21;5;;receber;SP
191576;14247;2;05/01/2017 20:56;;39,20 ;;19;;;receber;SP
191598;14269;2;06/01/2017 09:09;;81,12 ;;23;5;;receber;SP
191602;14273;2;06/01/2017 12:22;;28,39 ;;28;;;retirar;SP
191603;14274;2;06/01/2017 12:26;;57,50 ;;25;5;;receber;SP
191618;14289;2;06/01/2017 14:33;;82,86 ;;21;;;receber;SP
191626;14297;2;06/01/2017 15:33;;52,70 ;;21;5;;receber;SP
191627;14298;2;06/01/2017 15:34;;52,70 ;;26;5;;receber;SP
191648;14319;2;06/01/2017 17:37;;42,99 ;;21;5;;receber;SP
